Verein,Name,Einsätze,Einwechslungen,Auswechslungen,Spielminuten,Tore,Torschüsse,Torvorlagen,Torschussvorlagen,Elfmeter verwandelt,Elfmeter verschossen,Laufleistung,Ballkontakte,Zweikampfquote,gespielte Pässe,angekommene Pässe,Fehlpässe,Passquote,Fouls,Gefoult worden,Abseits,Gelbe Karten,Gelb-rote Karten,Rote Karten,Note
FC Ingolstadt 04,Pascal Groß,33,2,12,2720,5,51,5,98,3,0,373.24,2118,43,1521,1055,466,69,47,47,4,0,0,5,3.60
FC Ingolstadt 04,Alfredo Morales,27,7,9,1709,1,25,0,11,0,0,220.04,955,50,627,400,227,64,33,38,4,0,1,4,3.62
FC Ingolstadt 04,Dario Lezcano,33,6,14,2507,6,59,5,30,0,1,293.99,1262,43,641,468,173,73,70,136,30,0,0,4,3.63
FC Ingolstadt 04,Anthony Jung,16,8,5,704,1,6,1,10,0,0,94.63,411,47,236,143,93,61,13,13,0,0,0,1,3.67
FC Ingolstadt 04,Florent Hadergjonaj,25,0,1,2221,1,10,2,23,0,0,272.19,1518,58,810,451,359,56,31,29,1,0,0,6,3.80
FC Ingolstadt 04,Roger,30,4,8,2281,1,14,0,1,0,0,250.44,1094,61,742,500,242,67,36,48,0,0,0,6,3.85
FC Ingolstadt 04,Max Christiansen,11,7,3,443,0,4,0,2,0,0,58.65,283,46,205,156,49,76,8,10,0,0,1,1,3.90
FC Ingolstadt 04,Lukas Hinterseer,28,20,4,967,3,20,1,13,2,0,128.63,509,40,288,183,105,64,33,25,13,0,0,2,4.00
FC Ingolstadt 04,Tobias Levels,10,2,0,720,0,6,0,5,0,0,94.30,641,54,394,281,113,71,24,19,0,1,0,3,4.00
FC Ingolstadt 04,Mathew Leckie,30,5,9,2082,0,50,3,29,0,0,262.48,1439,50,832,551,281,66,42,48,10,1,1,2,4.08
FC Ingolstadt 04,Stefan Lex,13,11,2,333,0,9,0,3,0,0,47.25,140,47,71,41,30,58,6,9,3,0,0,3,4.13
FC Ingolstadt 04,Moritz Hartmann,14,2,9,942,1,19,0,10,0,1,126.85,435,48,281,184,97,65,19,16,1,0,0,0,4.29
SV Darmstadt 98,Daniel Heuer Fernandes,7,1,0,576,0,0,0,0,0,0,46.20,346,67,279,186,93,67,0,0,0,0,0,0,2.64
SV Darmstadt 98,Michael Esser,28,0,1,2484,0,1,0,1,0,0,175.40,1242,78,967,535,432,55,0,6,0,0,0,3,2.77
SV Darmstadt 98,Hamit Altintop,16,1,0,1362,0,20,0,11,0,1,170.72,998,56,736,624,112,85,16,15,0,0,0,3,3.00
SV Darmstadt 98,Victor Obinna,2,2,0,38,0,1,0,2,0,0,5.50,29,44,19,17,2,89,2,0,0,0,0,0,3.00
SV Darmstadt 98,Felix Platte,9,3,5,467,2,12,1,3,0,0,57.55,191,50,110,65,45,59,12,7,4,0,0,1,3.43
SV Darmstadt 98,Aytac Sulu,27,0,0,2430,2,25,1,4,0,0,246.80,1110,58,738,567,171,77,27,41,1,0,0,7,3.56
SV Darmstadt 98,Peter Niemeyer,15,2,5,1107,0,5,0,2,0,0,127.00,506,61,346,235,111,68,17,18,4,0,1,6,3.62
SV Darmstadt 98,Jerome Gondorf,29,0,5,2546,3,33,6,37,1,0,331.82,1568,49,916,592,324,65,44,83,4,0,0,7,3.67
SV Darmstadt 98,Mario Vrancic,23,5,9,1536,4,30,2,52,1,0,193.45,949,52,634,441,193,70,33,25,1,0,1,1,3.70
SV Darmstadt 98,Marcel Heller,32,1,5,2716,3,42,5,31,0,0,320.29,1062,34,552,361,191,65,27,27,27,0,0,2,3.79
SV Darmstadt 98,Laszlo Kleinheisler,12,2,8,776,1,14,1,3,0,0,95.98,322,33,193,132,61,68,21,14,0,0,0,0,3.80
SV Darmstadt 98,Patrick Banggaard,9,0,0,810,0,5,0,2,0,0,91.84,417,62,329,261,68,79,12,2,0,0,0,4,3.83
SV Darmstadt 98,Antonio-Mirko Colak,22,10,4,1275,4,32,2,7,1,1,164.38,427,39,249,159,90,64,32,27,16,0,1,0,3.83
SV Darmstadt 98,Florian Jungwirth,16,4,1,1146,0,10,0,6,0,0,136.28,602,61,344,224,120,65,21,14,1,0,0,2,3.83
SV Darmstadt 98,Markus Steinhöfer,7,4,0,323,0,3,1,6,0,0,41.38,234,57,125,92,33,74,5,1,0,0,0,0,3.83
SV Darmstadt 98,Sidney Sam,13,2,4,884,2,13,1,6,2,0,109.62,528,38,281,206,75,73,18,20,0,0,0,1,3.85
